文本序号,用户名,版本号,时间,成员角色,text,issue_topic,score,tag
0,yoky,3.6.2,2017-08-10 10:56:30,NONE,完整的逻辑应该是开盘价=收盘价的时候，看涨跌幅，如果涨了就是涨的颜色，如果跌了就是跌的颜色。我目前是自己改了源码，对signVal的值做了判断,K线图 阴线阳线规则错误,0,无
1,100pah,3.6.2,2017-09-06 11:59:49,MEMBER,Fixed on 85ccf2d. See 6583,K线图 阴线阳线规则错误,0,无
