文本序号,用户名,版本号,时间,成员角色,text,issue_topic,score,tag
0,zy-kkk,1.2.2-rc01,2023-02-23 11:00:59,COLLABORATOR,Could you please provide your SQL statement to 【help】 us reproduce the 【problem】,"[Bug] ""CREATE TABLE temp.sun_pt0 AS SELECT "" Cause be downtime",-1,problem;help;select;do
1,cnwyc,1.2.2-rc01,2023-02-23 11:22:48,NONE AUTHOR,"Dear yongkang.zhong:   This is a table creation statement：   CREATE TABLE `dwdjddetail` (  `itemid` varchar(255) NOT NULL COMMENT '商品id',  `category` text NULL COMMENT '品类',  `brandnamecn` text NULL COMMENT '品牌中文名',  `brandnameen` text NULL COMMENT '品牌英文名',  `model` text NULL COMMENT '型号',  `skuname` text NULL COMMENT 'sku名称',  `title` text NULL COMMENT '商品标题',  `price` decimal(10, 2) NULL COMMENT '商品价格',  `params` text NULL COMMENT '品参内容',  `storeid` text NULL COMMENT '店铺id',  `storename` text NULL COMMENT '商店名称',  `tabs` text NULL COMMENT '店铺标签',  `storeflag` text NULL COMMENT '店铺标记',  `source` text NULL COMMENT '数据源平台',  `itemurl` text NULL COMMENT '商品网站链接',  `createtime` datetime NULL COMMENT '创建时间') ENGINE=OLAPDUPLICATE KEY(`itemid`)COMMENT '燃气灶单品数据'DISTRIBUTED BY HASH(`itemid`) BUCKETS 1PROPERTIES (""replicationallocation"" = ""tag.location.default: 3"",""inmemory"" = ""false"",""storageformat"" = ""V2"",""disableautocompaction"" = ""false"");This is the statement I executed：DROP TABLE IF EXISTS temp.sunpt0;CREATE TABLE temp.sunpt0 ASSELECT itemid                                                                                  AS itemid     , 'rangehood'                                                                             AS category     , brandnamecn                                                                            AS brandnamecn     , brandnameen                                                                            AS brandnameen     , getjsonstring(params, '$.thearticlenumber')                                          AS model     , getjsonstring(params, '$.machinedesign')                                              AS producttype     , getjsonstring(params, '$.goodsorigin')                                                AS productorigin     , getjsonstring(params, '$.productname')                                                AS productname     , NULL                                                                                     AS timetomarket     , NULL                                                                                     AS price     , regexpextract(getjsonstring(params, '$.netweight'), '[09.]+', 0)                    AS netweight     , regexpextract(getjsonstring(params, '$.goodsgrossweight'), '[09.]+', 0)            AS grossweight     , IF(color != '', color, NULL)                                                             AS color     , IF(extdim != '', regexpextract(extdim, '[19]\\d+', 0), NULL)                         AS externaldimensionslong     , IF(extdim != '', regexpextract(extdim, '[19]\\d+.+([19]\\d+)', 1), NULL)            AS externaldimensionswidth     , IF(extdim != '', regexpextract(extdim, '[19]\\d+.+[19]\\d+.+([19]\\d+)', 1), NULL) AS externaldimensionshight     , NULL                                                                                     AS internaldimensionslong     , NULL                                                                                     AS internaldimensionswidth     , NULL                                                                                     AS internaldimensionshight     , REPLACE(getjsonstring(params, '$.panelmaterial'), '+', ';')                           AS panelmaterial     , REPLACE(getjsonstring(params, '$.closethesmokecavitymaterial'), '+', ';')          AS closethesmokecavitymaterial     , NULL                                                                                     AS oilnetmaterial     , REPLACE(getjsonstring(params, '$.materialscience'), '+', ';')                         AS materialscience     , IF(style != '', style, NULL)                                                             AS style     , IF(workmanship = '烤漆', '烤漆', NULL)                                                   AS workmanship  使用材料/面板材料只获取烤漆值     , NULL                                                                                     AS patterndescription     , getjsonstring(params, '$.machinedesign')                                              AS materialdesign     , getjsonstring(params, '$.energyefficiencygrade')                                     AS energyefficiencygrade     , NULL                                                                                     AS powerconsumption     , IF(constantfrequencyconversion != '', constantfrequencyconversion, NULL)             AS constantfrequencyconversion     , IF(ratedpower != '', ratedpower, NULL)                                                 AS ratedpower     , NULL                                                                                     AS shutdownpower     , IF(lightingpower != '', lightingpower, NULL)                                           AS lightingpower     , NULL                                                                                     AS soundnoise     , IF(soundlevelmin != '', regexpextract(soundlevelmin, '\\d+', 0), NULL)              AS soundpressurelevelnoisemin     , IF(soundlevelmax != '', regexpextract(soundlevelmax, '\\d+', 0), NULL)              AS soundpressurelevelnoisemax     , IF(exhaustairmin != '', regexpextract(exhaustairmin, '\\d+', 0), NULL)              AS exhaustairmin     , IF(exhaustairmax != '', regexpextract(exhaustairmax, '\\d+', 0), NULL)              AS exhaustairmax     , IF(windpressuremin != '', regexpextract(windpressuremin, '\\d+', 0), NULL)          AS windpressuremin     , IF(windpressuremax != '', regexpextract(windpressuremax, '\\d+', 0), NULL)          AS windpressuremax     , IF(motoroutputpower != '', motoroutputpower, NULL)                                   AS motoroutputpower     , NULL                                                                                     AS oilseparation     , NULL                                                                                     AS netflavorrate     , NULL                                                                                     AS totalpressureefficiency     , IF(maximumstaticpressurevalue != '', maximumstaticpressurevalue, NULL)             AS maximumstaticpressurevalue     , NULL                                                                                     AS smokearea     , NULL                                                                                     AS appointmentfunction     , IF(childlock IS NULL, NULL, IF(childlock REGEXP '^支持', '有', '无'))                  AS childlock     , NULL                                                                                     AS lightsource     , getjsonstring(params, '$.wayintothewind')                                           AS wayintothewind     , IF(airoutletdiameter != '', airoutletdiameter, NULL)                                 AS airoutletdiameter     , IF(adjustgearsnum != '', adjustgearsnum, NULL)                                       AS adjustgearsnum      '(自|免|热|自动|自动的|不用|变频|免拆|一键|热炫|光波|双模|智|无|触摸|触控|免拆|体感)清洗'     , IF(cleaningmethod != '', cleaningmethod, NULL)                                         AS cleaningmethod     , NULL                                                                                     AS numberoffans     , NULL                                                                                     AS intelligentlifting     , NULL                                                                                     AS doublefoldinganddoublecavity     , NULL                                                                                     AS smokingportunderset     , NULL                                                                                     AS delayshutdown     , NULL                                                                                     AS easytodisassemble     , NULL                                                                                     AS easytoclean     , NULL                                                                                        timingfunction     , NULL                                                                                        antibackfilling     , REPLACE(getjsonstring(params, '$.function'), '，', ';')                                 AS function     , REPLACE(getjsonstring(params, '$.controlmode'), '；', ';')                             AS controlmode     , NULL                                                                                     AS interconnectionversionname     , NULL                                                                                     AS supportecology     , NULL                                                                                     AS agreement     , NULL                                                                                     AS voiceinteraction     , NULL                                                                                     AS largescreeninteraction     , NULL                                                                                     AS allhousezhilian     , NULL                                                                                     AS intelligentsmokesensingcruise     , NULL                                                                                     AS installationdimensionslong     , NULL                                                                                     AS installationdimensionswidth     , NULL                                                                                     AS installationdimensionshight     , NULL                                                                                     AS openingsize     , REPLACE(getjsonstring(params, '$.installationmethod'), '（不提供安装服务）', '')        AS installationmethod     , NULL                                                                                     AS installationservicefee     , NULL                                                                                     AS warrantyperiod     , NULL                                                                                     AS otherwarrantyperiod     , NULL                                                                                     AS targetcustomergroup     , NULL                                                                                     AS scenariodescription     , NULL                                                                                     AS featuresellingpoints     , NULL                                                                                     AS technicalsellingpoints     , NULL                                                                                     AS sellingpointsappearancedesign     , NULL                                                                                     AS servicesellingpoints     , NULL                                                                                     AS endorsement     , NULL                                                                                     AS mechanism     , NULL                                                                                     AS honor     , NULL                                                                                     AS patentFROM (SELECT            , regexpextract(getjsonstring(params, '$.themachinesize'), '[19]\\d+.+[19]\\d+.+[19]\\d+', 0)     AS extdim           , regexpextract(params, '([银浅草紫乳]?.|不锈钢|咖啡|卡其)色', 0)                                        AS color           , regexpextract(params, '复古|简约|轻奢', 0)                                                             AS style           , NVL(getjsonstring(params, '$.materialscience'), getjsonstring(params, '$.panelmaterial'))         AS workmanship           , regexpextract(params, '(定|双?变)频', 0)                                                               AS constantfrequencyconversion           , regexpextract(UPPER(getjsonstring(params, '$.ratedpower')), '([19]\\d+)W', 1)                      AS ratedpower           , regexpextract(REGEXPREPLACE(getjsonstring(params, '$.lightingpower'), '^0+W', ''), '([09.]+)', 0) AS lightingpower           , regexpextract(getjsonstring(params, '$.soundpressurelevelnoise'), '\\d+|\\d+', 0)               AS soundlevelmin           , regexpextract(getjsonstring(params, '$.soundpressurelevelnoise'), '<\\d+|\\d+', 0)               AS soundlevelmax           , regexpextract(getjsonstring(params, '$.exhaustair'), '≥\\d+|\\d+', 0)                              AS exhaustairmin           , regexpextract(getjsonstring(params, '$.exhaustair'), '≤\\d+|\\d+', 0)                              AS exhaustairmax           , regexpextract(getjsonstring(params, '$.windpressure'), '≥\\d+|\\d+', 0)                            AS windpressuremin           , regexpextract(getjsonstring(params, '$.windpressure'), '≤\\d+|\\d+', 0)                            AS windpressuremax           , regexpextract(getjsonstring(params, '$.motorinputpower'), '[19]\\d+', 0)                          AS motoroutputpower           , regexpextract(getjsonstring(params, '$.maximumstaticpressurevalue'), '[19]\\d+', 0)              AS maximumstaticpressurevalue           , getjsonstring(params, '$.bhfunction')                                                                AS childlock           , regexpextract(getjsonstring(params, '$.theoutletdiameter'), '\\d+', 0)                             AS airoutletdiameter           , REGEXPREPLACE(regexpextract(params, '(\\d+|三)档', 0), '三', '3')                                     AS adjustgearsnum           , regexpextract(params, '(自|免|热|自动|一键|热炫|光波)清洗', 0)                                         AS cleaningmethod      FROM dwdjd.dwdjddetail      WHERE category = 'rangehood') t;Attached is the 【sample】 data of the original tableAt 20230223 11:01:09, ""yongkang.zhong"" @. wrote:Could you please provide your SQL statement to 【help】 us reproduce the 【problem】—Reply to this email directly, view it on GitHub, or unsubscribe.You are receiving this because you authored the thread.Message ID: @.","[Bug] ""CREATE TABLE temp.sun_pt0 AS SELECT "" Cause be downtime",-1,version;problem;replace;support;feature;help;select;do
2,cnwyc,1.2.2-rc01,2023-02-23 11:25:00,NONE AUTHOR,"Dear yongkang.zhong： This is the sample data of the original tableAt 20230223 11:01:09, ""yongkang.zhong"" @. wrote:Could you please provide your SQL statement to 【help】 us reproduce the 【problem】—Reply to this email directly, view it on GitHub, or unsubscribe.You are receiving this because you authored the thread.Message ID: @.","[Bug] ""CREATE TABLE temp.sun_pt0 AS SELECT "" Cause be downtime",-1,problem;help;select;do
3,zy-kkk,1.2.2-rc01,2023-02-23 19:01:27,COLLABORATOR,I'm sorry that I can't reproduce this error. Could you please add my wechat account :zyk815574403   We will learn more about the specific situation,"[Bug] ""CREATE TABLE temp.sun_pt0 AS SELECT "" Cause be downtime",-1,sorry;select;do
4,zy-kkk,1.2.2-rc01,2023-03-01 19:06:45,COLLABORATOR,This issue should have been fixed by this PR 16778,"[Bug] ""CREATE TABLE temp.sun_pt0 AS SELECT "" Cause be downtime",0,select;do
