文本序号,用户名,版本号,时间,成员角色,text,issue_topic,score,tag
0,BiteTheDDDDt,1.2.2-rc01,2023-04-11 15:07:19,CONTRIBUTOR AUTHOR," Hi, I 【want】 to 【try】 testAggQueryOnAggMV4,testAggQueryOnAggMV8 and testAggQueryOnAggMV9.Can I do this?【welcome】.If you encounter any 【problems】, you can raise them in issue.You can find the corresponding sql in the unit test of fe according to the name of the case, and then add it to the regressiontest according to the format (refer to other pr).",[Enhancement] move mv regression-【test】 case from fe ut MaterializedViewFunction【Test】,-1,problem;test;try;welcome;do;want
1,LookSin,1.2.2-rc01,2023-04-11 15:08:28,NONE,"Hi,I can add move mv regressiontest case for testAggQueryOnAggMV4,testAggQueryOnAggMV8 andtestAggQueryOnAggMV9.Can I have a 【try】?",[Enhancement] move mv regression-【test】 case from fe ut MaterializedViewFunction【Test】,-1,test;try
2,LookSin,1.2.2-rc01,2023-04-11 15:09:38,NONE," Ok, I get it！",[Enhancement] move mv regression-【test】 case from fe ut MaterializedViewFunctionTest,1,test
3,aprilsoo,1.2.2-rc01,2023-04-18 19:17:50,NONE,please assignin to me  testJoinOnCalcToJoin,[Enhancement] move mv regression-test case from fe ut MaterializedViewFunctionTest,1,test;assign
