文本序号,用户名,版本号,时间,成员角色,text,issue_topic,score,tag
0,zylch11,1.2.3-rc02,2023-03-24 17:18:15,NONE,"Hi, can I contribute to this issue?",[Feature] 【Support】 bitmap_remove function,0,support;feature
1,Yukang-Lian,1.2.3-rc02,2023-03-24 17:19:19,COLLABORATOR AUTHOR," Hi, can I contribute to this issue?Of course!",[Feature] Support bitmap_remove function,1,support;feature
2,zylch11,1.2.3-rc02,2023-03-24 17:23:27,NONE,"Thank You, I am a bit 【new】 to OS, will I get any further context to solve this 【problem】, references etc.",[Feature] 【Support】 bitmap_remove function,-1,problem;support;feature;new
3,Yukang-Lian,1.2.3-rc02,2023-03-24 17:30:13,COLLABORATOR AUTHOR,You can refer to this PR. https://github.com/apache/doris/pull/17416,[Feature] 【Support】 bitmap_remove function,0,support;feature
4,Yukang-Lian,1.2.3-rc02,2023-03-24 17:32:52,COLLABORATOR AUTHOR,"If your Chinese is good, you can refer to [this](https://www.bilibili.com/video/BV1Vg4y1J7A9/?buvid=Y447234DDC02210345869D240479DD806AD8&isstoryh5=false&mid=EK9bNAtRPWENbU4EqJ1rmA%3D%3D&p=1&platid=114&sharefrom=ugc&sharemedium=iphone&shareplat=ios&sharesessionid=A0C967FD26564BB6AFFD503C645C5678&sharesource=WEIXIN&sharetag=si&timestamp=1679228580&uniquek=q7e3gJe&upid=362350065) video.",[Feature] 【Support】 bitmap_remove function,1,support;feature
5,zhangstar333,1.2.3-rc02,2023-03-24 21:15:13,CONTRIBUTOR,"@zylch11 @YukangLian  【sorry】, the maybe some mistake `array<int output = bitmapremove(bitmap value, array<int arr)`should be 【like】 this:`bitmap output = bitmapremove(bitmap value, array<int arr)`and this function means eg:we know a bitmap value contains some nums:```mysql [(none)]【select】 bitmaptostring(bitmapfromarray([1,2,3,4,5]));++| bitmaptostring(bitmapfromarray(ARRAY(1, 2, 3, 4, 5))) |++| 1,2,3,4,5                                                                                       |++```if the second param of arr is [1,2]we 【wants】 the function bitmapremove(value,arr) result of bitmap is only contains (3,4,5)I think you could refer some bitmap function in Doris 【like】: bitmapcontains....the source code of Doris:  be/src/vec/functions/functionbitmap.cppsome functions docs:https://doris.apache.org/docs/dev/sqlmanual/sqlfunctions/bitmapfunctions/tobitmap/",[Feature] 【Support】 bitmap_remove function,-1,support;feature;like;sorry;do;want
